?biological_process	?bp_iri	?expr_genes	?total_genes	?ratio
"cellular water homeostasis"	<http://purl.obolibrary.org/obo/GO_0009992>	3	3	1.0
"cerebellum vasculature morphogenesis"	<http://purl.obolibrary.org/obo/GO_0061301>	1	1	1.0
"chemokine (C-C motif) ligand 19 signaling pathway"	<http://purl.obolibrary.org/obo/GO_0038115>	1	1	1.0
"chloramphenicol transport"	<http://purl.obolibrary.org/obo/GO_0042892>	1	1	1.0
"corticosterone secretion"	<http://purl.obolibrary.org/obo/GO_0035934>	1	1	1.0
"cytotoxic T cell differentiation"	<http://purl.obolibrary.org/obo/GO_0045065>	1	1	1.0
"daunorubicin transport"	<http://purl.obolibrary.org/obo/GO_0043215>	1	1	1.0
"dendritic cell cytokine production"	<http://purl.obolibrary.org/obo/GO_0002371>	1	1	1.0
"deoxyadenosine catabolic process"	<http://purl.obolibrary.org/obo/GO_0006157>	1	1	1.0
"detection of lipoteichoic acid"	<http://purl.obolibrary.org/obo/GO_0070392>	1	1	1.0
"detection of yeast"	<http://purl.obolibrary.org/obo/GO_0001879>	1	1	1.0
"endocardial cushion cell development"	<http://purl.obolibrary.org/obo/GO_0061444>	1	1	1.0
"epidermal growth factor receptor signaling pathway via I-kappaB kinase/NF-kappaB cascade"	<http://purl.obolibrary.org/obo/GO_0038168>	1	1	1.0
"epithelial cell apoptotic process involved in palatal shelf morphogenesis"	<http://purl.obolibrary.org/obo/GO_1990134>	1	1	1.0
"gastrin-induced gastric acid secretion"	<http://purl.obolibrary.org/obo/GO_0001698>	1	1	1.0
"glyoxylate cycle"	<http://purl.obolibrary.org/obo/GO_0006097>	2	2	1.0
"granuloma formation"	<http://purl.obolibrary.org/obo/GO_0002432>	2	2	1.0
"growth factor dependent regulation of skeletal muscle satellite cell proliferation"	<http://purl.obolibrary.org/obo/GO_0014843>	1	1	1.0
"growth plate cartilage chondrocyte growth"	<http://purl.obolibrary.org/obo/GO_0003430>	2	2	1.0
"helper T cell enhancement of adaptive immune response"	<http://purl.obolibrary.org/obo/GO_0035397>	1	1	1.0
"hepatocyte cell migration"	<http://purl.obolibrary.org/obo/GO_0002194>	1	1	1.0
"histamine-induced gastric acid secretion"	<http://purl.obolibrary.org/obo/GO_0001697>	1	1	1.0
"host programmed cell death induced by symbiont"	<http://purl.obolibrary.org/obo/GO_0034050>	1	1	1.0
"immunoglobulin heavy chain V-D-J recombination"	<http://purl.obolibrary.org/obo/GO_0071707>	1	1	1.0
"induction by symbiont of defense-related host nitric oxide production"	<http://purl.obolibrary.org/obo/GO_0052063>	1	1	1.0
"inductive cell-cell signaling"	<http://purl.obolibrary.org/obo/GO_0031129>	1	1	1.0
"initiation of neural tube closure"	<http://purl.obolibrary.org/obo/GO_0021993>	1	1	1.0
"interleukin-13 biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0042231>	1	1	1.0
"intestinal stem cell homeostasis"	<http://purl.obolibrary.org/obo/GO_0036335>	1	1	1.0
"iron ion export across plasma membrane"	<http://purl.obolibrary.org/obo/GO_1903988>	1	1	1.0
"isopeptide cross-linking via N6-(L-isoglutamyl)-L-lysine"	<http://purl.obolibrary.org/obo/GO_0018153>	1	1	1.0
"limb epidermis development"	<http://purl.obolibrary.org/obo/GO_0060887>	1	1	1.0
"long-chain fatty acid import across plasma membrane"	<http://purl.obolibrary.org/obo/GO_0015911>	2	2	1.0
"lymph circulation"	<http://purl.obolibrary.org/obo/GO_0003017>	1	1	1.0
"macrophage migration inhibitory factor signaling pathway"	<http://purl.obolibrary.org/obo/GO_0035691>	1	1	1.0
"maintenance of symbiont-containing vacuole by host"	<http://purl.obolibrary.org/obo/GO_0085018>	1	1	1.0
"male meiosis chromosome separation"	<http://purl.obolibrary.org/obo/GO_0051308>	1	1	1.0
"melanocyte adhesion"	<http://purl.obolibrary.org/obo/GO_0097326>	1	1	1.0
"mesenchymal stem cell maintenance involved in metanephric nephron morphogenesis"	<http://purl.obolibrary.org/obo/GO_0072309>	1	1	1.0
"mesenchymal to epithelial transition involved in metanephric renal vesicle formation"	<http://purl.obolibrary.org/obo/GO_0072285>	1	1	1.0
"methionine transport"	<http://purl.obolibrary.org/obo/GO_0015821>	1	1	1.0
"motogenic signaling involved in postnatal olfactory bulb interneuron migration"	<http://purl.obolibrary.org/obo/GO_0021837>	1	1	1.0
"negative regulation of ATP citrate synthase activity"	<http://purl.obolibrary.org/obo/GO_2000984>	1	1	1.0
"negative regulation of T cell anergy"	<http://purl.obolibrary.org/obo/GO_0002668>	1	1	1.0
"negative regulation of axon extension involved in regeneration"	<http://purl.obolibrary.org/obo/GO_0048692>	1	1	1.0
"negative regulation of cellular pH reduction"	<http://purl.obolibrary.org/obo/GO_0032848>	1	1	1.0
"negative regulation of ectodermal cell fate specification"	<http://purl.obolibrary.org/obo/GO_0042666>	1	1	1.0
"negative regulation of elastin catabolic process"	<http://purl.obolibrary.org/obo/GO_0060311>	1	1	1.0
"negative regulation of eosinophil degranulation"	<http://purl.obolibrary.org/obo/GO_0043310>	1	1	1.0
"negative regulation of eye pigmentation"	<http://purl.obolibrary.org/obo/GO_0048074>	1	1	1.0
"negative regulation of interleukin-12 biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0045083>	1	1	1.0
"negative regulation of lipoprotein lipid oxidation"	<http://purl.obolibrary.org/obo/GO_0060588>	1	1	1.0
"negative regulation of monocyte extravasation"	<http://purl.obolibrary.org/obo/GO_2000438>	1	1	1.0
"negative regulation of natural killer cell degranulation"	<http://purl.obolibrary.org/obo/GO_0043322>	1	1	1.0
"negative regulation of nodal receptor complex assembly"	<http://purl.obolibrary.org/obo/GO_1900124>	1	1	1.0
"negative regulation of penile erection"	<http://purl.obolibrary.org/obo/GO_0060407>	1	1	1.0
"negative regulation of postsynaptic membrane organization"	<http://purl.obolibrary.org/obo/GO_1901627>	1	1	1.0
"negative regulation of renin secretion into blood stream"	<http://purl.obolibrary.org/obo/GO_1900134>	1	1	1.0
"negative regulation of thioredoxin peroxidase activity by peptidyl-threonine phosphorylation"	<http://purl.obolibrary.org/obo/GO_1903125>	1	1	1.0
"negative regulation of thymocyte aggregation"	<http://purl.obolibrary.org/obo/GO_2000399>	1	1	1.0
"neural plate mediolateral regionalization"	<http://purl.obolibrary.org/obo/GO_0021998>	1	1	1.0
"nitric oxide production involved in inflammatory response"	<http://purl.obolibrary.org/obo/GO_0002537>	2	2	1.0
"notochord cell development"	<http://purl.obolibrary.org/obo/GO_0060035>	1	1	1.0
"olfactory nerve structural organization"	<http://purl.obolibrary.org/obo/GO_0021629>	1	1	1.0
"osteoclast maturation"	<http://purl.obolibrary.org/obo/GO_0036179>	1	1	1.0
"pantothenate transmembrane transport"	<http://purl.obolibrary.org/obo/GO_0015887>	1	1	1.0
"paraxial mesoderm structural organization"	<http://purl.obolibrary.org/obo/GO_0048352>	1	1	1.0
"phenylethylamine metabolic process"	<http://purl.obolibrary.org/obo/GO_0042443>	1	1	1.0
"phosphatidylserine catabolic process"	<http://purl.obolibrary.org/obo/GO_0006660>	1	1	1.0
"phosphoanandamide dephosphorylation"	<http://purl.obolibrary.org/obo/GO_0035644>	1	1	1.0
"phytosphingosine biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0071602>	1	1	1.0
"plasma lipoprotein particle oxidation"	<http://purl.obolibrary.org/obo/GO_0034441>	1	1	1.0
"positive regulation of 1-phosphatidylinositol 4-kinase activity"	<http://purl.obolibrary.org/obo/GO_0043128>	1	1	1.0
"positive regulation of C-C chemokine receptor CCR7 signaling pathway"	<http://purl.obolibrary.org/obo/GO_1903082>	1	1	1.0
"positive regulation of CD24 biosynthetic process"	<http://purl.obolibrary.org/obo/GO_2000560>	1	1	1.0
"positive regulation of CD40 signaling pathway"	<http://purl.obolibrary.org/obo/GO_2000350>	1	1	1.0
"positive regulation of IP-10 production"	<http://purl.obolibrary.org/obo/GO_0071660>	1	1	1.0
"positive regulation of N-terminal peptidyl-lysine acetylation"	<http://purl.obolibrary.org/obo/GO_2000761>	1	1	1.0
"positive regulation of Schwann cell proliferation"	<http://purl.obolibrary.org/obo/GO_0010625>	1	1	1.0
"positive regulation of activation-induced cell death of T cells"	<http://purl.obolibrary.org/obo/GO_0070237>	1	1	1.0
"positive regulation of canonical Wnt signaling pathway involved in cardiac muscle cell fate commitment"	<http://purl.obolibrary.org/obo/GO_1901297>	1	1	1.0
"positive regulation of cap-dependent translational initiation"	<http://purl.obolibrary.org/obo/GO_1903676>	1	1	1.0
"positive regulation of cellular glucuronidation"	<http://purl.obolibrary.org/obo/GO_2001031>	1	1	1.0
"positive regulation of chronic inflammatory response to non-antigenic stimulus"	<http://purl.obolibrary.org/obo/GO_0002882>	1	1	1.0
"positive regulation of fibronectin-dependent thymocyte migration"	<http://purl.obolibrary.org/obo/GO_2000415>	1	1	1.0
"positive regulation of forebrain neuron differentiation"	<http://purl.obolibrary.org/obo/GO_2000979>	1	1	1.0
"positive regulation of glycine import across plasma membrane"	<http://purl.obolibrary.org/obo/GO_1900925>	1	1	1.0
"positive regulation of glycoprotein biosynthetic process involved in immunological synapse formation"	<http://purl.obolibrary.org/obo/GO_2000526>	1	1	1.0
"positive regulation of heart rate by epinephrine"	<http://purl.obolibrary.org/obo/GO_0003065>	1	1	1.0
"positive regulation of homocysteine metabolic process"	<http://purl.obolibrary.org/obo/GO_0050668>	1	1	1.0
"positive regulation of immunological synapse formation"	<http://purl.obolibrary.org/obo/GO_2000522>	2	2	1.0
"positive regulation of neurofibrillary tangle assembly"	<http://purl.obolibrary.org/obo/GO_1902998>	2	2	1.0
"positive regulation of nucleotide-binding oligomerization domain containing 1 signaling pathway"	<http://purl.obolibrary.org/obo/GO_0070430>	1	1	1.0
"positive regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway"	<http://purl.obolibrary.org/obo/GO_0070434>	2	2	1.0
"positive regulation of retinal cell programmed cell death"	<http://purl.obolibrary.org/obo/GO_0046670>	1	1	1.0
"positive regulation of the force of heart contraction by epinephrine"	<http://purl.obolibrary.org/obo/GO_0003059>	1	1	1.0
"positive regulation of the force of heart contraction by norepinephrine"	<http://purl.obolibrary.org/obo/GO_0003061>	1	1	1.0
"positive regulation of tolerance induction to self antigen"	<http://purl.obolibrary.org/obo/GO_0002651>	1	1	1.0
"primary follicle stage"	<http://purl.obolibrary.org/obo/GO_0048160>	1	1	1.0
"prostaglandin production involved in inflammatory response"	<http://purl.obolibrary.org/obo/GO_0002539>	1	1	1.0
"regulation of lateral mesodermal cell fate specification"	<http://purl.obolibrary.org/obo/GO_0048378>	2	2	1.0
"regulation of proline transport"	<http://purl.obolibrary.org/obo/GO_0070881>	1	1	1.0
"regulation of systemic arterial blood pressure by aortic arch baroreceptor feedback"	<http://purl.obolibrary.org/obo/GO_0003026>	1	1	1.0
"rhodopsin metabolic process"	<http://purl.obolibrary.org/obo/GO_0046154>	1	1	1.0
"slit diaphragm assembly"	<http://purl.obolibrary.org/obo/GO_0036060>	1	1	1.0
"sodium-dependent self proteolysis"	<http://purl.obolibrary.org/obo/GO_1990091>	1	1	1.0
"spleen trabecula formation"	<http://purl.obolibrary.org/obo/GO_0060345>	1	1	1.0
"stilbene catabolic process"	<http://purl.obolibrary.org/obo/GO_0046272>	1	1	1.0
"tendon sheath development"	<http://purl.obolibrary.org/obo/GO_0002932>	1	1	1.0
"toll-like receptor 13 signaling pathway"	<http://purl.obolibrary.org/obo/GO_0034178>	1	1	1.0
"type B pancreatic cell maturation"	<http://purl.obolibrary.org/obo/GO_0072560>	1	1	1.0
"uridine metabolic process"	<http://purl.obolibrary.org/obo/GO_0046108>	1	1	1.0
"vacuolar sequestering"	<http://purl.obolibrary.org/obo/GO_0043181>	1	1	1.0
"ventral midline determination"	<http://purl.obolibrary.org/obo/GO_0007371>	1	1	1.0
"vitamin E biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0010189>	1	1	1.0
"vitelline membrane formation"	<http://purl.obolibrary.org/obo/GO_0030704>	1	1	1.0
"xanthine biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0046111>	1	1	1.0
"zonula adherens assembly"	<http://purl.obolibrary.org/obo/GO_0045186>	1	1	1.0
"positive regulation of protein targeting to mitochondrion"	<http://purl.obolibrary.org/obo/GO_1903955>	8	9	0.888888888888888888888888
"positive regulation of germinal center formation"	<http://purl.obolibrary.org/obo/GO_0002636>	4	5	0.8
"canonical Wnt signaling pathway involved in negative regulation of apoptotic process"	<http://purl.obolibrary.org/obo/GO_0044336>	3	4	0.75
"positive regulation of heparan sulfate proteoglycan biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0010909>	3	4	0.75
"Kit signaling pathway"	<http://purl.obolibrary.org/obo/GO_0038109>	2	3	0.666666666666666666666666
"RIG-I signaling pathway"	<http://purl.obolibrary.org/obo/GO_0039529>	2	3	0.666666666666666666666666
"activation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway"	<http://purl.obolibrary.org/obo/GO_0097296>	2	3	0.666666666666666666666666
"cGMP catabolic process"	<http://purl.obolibrary.org/obo/GO_0046069>	4	6	0.666666666666666666666666
"canonical Wnt signaling pathway involved in positive regulation of epithelial to mesenchymal transition"	<http://purl.obolibrary.org/obo/GO_0044334>	2	3	0.666666666666666666666666
"diaphragm contraction"	<http://purl.obolibrary.org/obo/GO_0002086>	2	3	0.666666666666666666666666
"epicardial cell to mesenchymal cell transition"	<http://purl.obolibrary.org/obo/GO_0003347>	2	3	0.666666666666666666666666
"establishment of cell polarity involved in ameboidal cell migration"	<http://purl.obolibrary.org/obo/GO_0003365>	2	3	0.666666666666666666666666
"mineralocorticoid receptor signaling pathway"	<http://purl.obolibrary.org/obo/GO_0031959>	2	3	0.666666666666666666666666
"negative regulation of immature T cell proliferation in thymus"	<http://purl.obolibrary.org/obo/GO_0033088>	4	6	0.666666666666666666666666
"negative regulation of smooth muscle cell-matrix adhesion"	<http://purl.obolibrary.org/obo/GO_2000098>	2	3	0.666666666666666666666666
"norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure"	<http://purl.obolibrary.org/obo/GO_0002025>	2	3	0.666666666666666666666666
"planar cell polarity pathway involved in axis elongation"	<http://purl.obolibrary.org/obo/GO_0003402>	2	3	0.666666666666666666666666
"positive regulation of interleukin-13 biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0045368>	2	3	0.666666666666666666666666
"positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway"	<http://purl.obolibrary.org/obo/GO_1900740>	2	3	0.666666666666666666666666
"positive regulation of transcription from RNA polymerase II promoter involved in smooth muscle cell differentiation"	<http://purl.obolibrary.org/obo/GO_2000721>	2	3	0.666666666666666666666666
"positive regulation of translation in response to endoplasmic reticulum stress"	<http://purl.obolibrary.org/obo/GO_0036493>	2	3	0.666666666666666666666666
"cAMP catabolic process"	<http://purl.obolibrary.org/obo/GO_0006198>	5	8	0.625
"positive regulation of interferon-alpha biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0045356>	3	5	0.6
"regulation of branching involved in salivary gland morphogenesis by mesenchymal-epithelial signaling"	<http://purl.obolibrary.org/obo/GO_0060665>	3	5	0.6
"positive regulation of cholesterol storage"	<http://purl.obolibrary.org/obo/GO_0010886>	4	7	0.571428571428571428571428
"10-formyltetrahydrofolate biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0009257>	1	2	0.5
"3'-phosphoadenosine 5'-phosphosulfate biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0050428>	1	2	0.5
"CMP-N-acetylneuraminate metabolic process"	<http://purl.obolibrary.org/obo/GO_0046381>	1	2	0.5
"D-serine transport"	<http://purl.obolibrary.org/obo/GO_0042942>	1	2	0.5
"DNA rewinding"	<http://purl.obolibrary.org/obo/GO_0036292>	1	2	0.5
"Fc-gamma receptor signaling pathway involved in phagocytosis"	<http://purl.obolibrary.org/obo/GO_0038096>	1	2	0.5
"L-cysteine catabolic process to taurine"	<http://purl.obolibrary.org/obo/GO_0019452>	1	2	0.5
"NAD transport"	<http://purl.obolibrary.org/obo/GO_0043132>	1	2	0.5
"Notch signaling pathway involved in arterial endothelial cell fate commitment"	<http://purl.obolibrary.org/obo/GO_0060853>	1	2	0.5
"T-helper 1 cell activation"	<http://purl.obolibrary.org/obo/GO_0035711>	1	2	0.5
"TRAM-dependent toll-like receptor 4 signaling pathway"	<http://purl.obolibrary.org/obo/GO_0035669>	1	2	0.5
"activation of meiosis involved in egg activation"	<http://purl.obolibrary.org/obo/GO_0060466>	1	2	0.5
"activation of phospholipase A2 activity"	<http://purl.obolibrary.org/obo/GO_0032431>	1	2	0.5
"ammonia assimilation cycle"	<http://purl.obolibrary.org/obo/GO_0019676>	1	2	0.5
"angiotensin-activated signaling pathway involved in heart process"	<http://purl.obolibrary.org/obo/GO_0086098>	1	2	0.5
"aorta smooth muscle tissue morphogenesis"	<http://purl.obolibrary.org/obo/GO_0060414>	2	4	0.5
"arginine catabolic process to ornithine"	<http://purl.obolibrary.org/obo/GO_0019547>	1	2	0.5
"arterial endothelial cell fate commitment"	<http://purl.obolibrary.org/obo/GO_0060844>	1	2	0.5
"asparagine transport"	<http://purl.obolibrary.org/obo/GO_0006867>	1	2	0.5
"blood vessel endothelial cell fate specification"	<http://purl.obolibrary.org/obo/GO_0097101>	1	2	0.5
"blood vessel lumenization"	<http://purl.obolibrary.org/obo/GO_0072554>	1	2	0.5
"branch elongation involved in ureteric bud branching"	<http://purl.obolibrary.org/obo/GO_0060681>	1	2	0.5
"bronchus morphogenesis"	<http://purl.obolibrary.org/obo/GO_0060434>	1	2	0.5
"camera-type eye photoreceptor cell fate commitment"	<http://purl.obolibrary.org/obo/GO_0060220>	1	2	0.5
"canonical Wnt signaling pathway involved in metanephric kidney development"	<http://purl.obolibrary.org/obo/GO_0061290>	1	2	0.5
"canonical Wnt signaling pathway involved in positive regulation of cardiac outflow tract cell proliferation"	<http://purl.obolibrary.org/obo/GO_0061324>	1	2	0.5
"carbon dioxide transport"	<http://purl.obolibrary.org/obo/GO_0015670>	4	8	0.5
"cell adhesion molecule production"	<http://purl.obolibrary.org/obo/GO_0060352>	1	2	0.5
"cellular response to lipid hydroperoxide"	<http://purl.obolibrary.org/obo/GO_0071449>	1	2	0.5
"cellular response to mercury ion"	<http://purl.obolibrary.org/obo/GO_0071288>	2	4	0.5
"central nervous system myelin formation"	<http://purl.obolibrary.org/obo/GO_0032289>	2	4	0.5
"cerebellar Purkinje cell layer maturation"	<http://purl.obolibrary.org/obo/GO_0021691>	1	2	0.5
"corticotropin secretion"	<http://purl.obolibrary.org/obo/GO_0051458>	1	2	0.5
"coumarin catabolic process"	<http://purl.obolibrary.org/obo/GO_0046226>	1	2	0.5
"cytotoxic T cell degranulation"	<http://purl.obolibrary.org/obo/GO_0043316>	1	2	0.5
"dendrite regeneration"	<http://purl.obolibrary.org/obo/GO_0031104>	1	2	0.5
"detection of cell density by contact stimulus involved in contact inhibition"	<http://purl.obolibrary.org/obo/GO_0060248>	1	2	0.5
"dolichol biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0019408>	1	2	0.5
"embryonic genitalia morphogenesis"	<http://purl.obolibrary.org/obo/GO_0030538>	2	4	0.5
"embryonic hindgut morphogenesis"	<http://purl.obolibrary.org/obo/GO_0048619>	2	4	0.5
"endocardium formation"	<http://purl.obolibrary.org/obo/GO_0060214>	2	4	0.5
"enkephalin processing"	<http://purl.obolibrary.org/obo/GO_0034230>	1	2	0.5
"epicardium-derived cardiac vascular smooth muscle cell differentiation"	<http://purl.obolibrary.org/obo/GO_0060983>	1	2	0.5
"establishment of glial blood-brain barrier"	<http://purl.obolibrary.org/obo/GO_0060857>	1	2	0.5
"establishment of planar polarity involved in neural tube closure"	<http://purl.obolibrary.org/obo/GO_0090177>	1	2	0.5
"extracellular matrix constituent secretion"	<http://purl.obolibrary.org/obo/GO_0070278>	2	4	0.5
"fibroblast growth factor receptor signaling pathway involved in orbitofrontal cortex development"	<http://purl.obolibrary.org/obo/GO_0035607>	1	2	0.5
"fluorene metabolic process"	<http://purl.obolibrary.org/obo/GO_0018917>	1	2	0.5
"follicular dendritic cell differentiation"	<http://purl.obolibrary.org/obo/GO_0002268>	1	2	0.5
"fourth ventricle development"	<http://purl.obolibrary.org/obo/GO_0021592>	1	2	0.5
"gamma-aminobutyric acid secretion, neurotransmission"	<http://purl.obolibrary.org/obo/GO_0061534>	1	2	0.5
"glucocorticoid catabolic process"	<http://purl.obolibrary.org/obo/GO_0006713>	1	2	0.5
"glutamate reuptake"	<http://purl.obolibrary.org/obo/GO_0051935>	1	2	0.5
"glutamate secretion, neurotransmission"	<http://purl.obolibrary.org/obo/GO_0061535>	1	2	0.5
"glutathione transmembrane transport"	<http://purl.obolibrary.org/obo/GO_0034775>	1	2	0.5
"glycerol transport"	<http://purl.obolibrary.org/obo/GO_0015793>	3	6	0.5
"glycerophosphate shuttle"	<http://purl.obolibrary.org/obo/GO_0006127>	1	2	0.5
"histidine biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0000105>	1	2	0.5
"histone H3-R26 citrullination"	<http://purl.obolibrary.org/obo/GO_0036413>	1	2	0.5
"histone H3-Y41 phosphorylation"	<http://purl.obolibrary.org/obo/GO_0035409>	1	2	0.5
"histone biotinylation"	<http://purl.obolibrary.org/obo/GO_0071110>	1	2	0.5
"hydroxyproline transport"	<http://purl.obolibrary.org/obo/GO_0034589>	1	2	0.5
"hypoxanthine salvage"	<http://purl.obolibrary.org/obo/GO_0043103>	1	2	0.5
"immunoglobulin production in mucosal tissue"	<http://purl.obolibrary.org/obo/GO_0002426>	1	2	0.5
"inorganic diphosphate transport"	<http://purl.obolibrary.org/obo/GO_0030505>	2	4	0.5
"inosine biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0046103>	2	4	0.5
"interferon-gamma biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0042095>	1	2	0.5
"interleukin-12 secretion"	<http://purl.obolibrary.org/obo/GO_0072610>	1	2	0.5
"interleukin-12-mediated signaling pathway"	<http://purl.obolibrary.org/obo/GO_0035722>	2	4	0.5
"interleukin-21 secretion"	<http://purl.obolibrary.org/obo/GO_0072619>	1	2	0.5
"interleukin-33-mediated signaling pathway"	<http://purl.obolibrary.org/obo/GO_0038172>	1	2	0.5
"interleukin-8-mediated signaling pathway"	<http://purl.obolibrary.org/obo/GO_0038112>	1	2	0.5
"intrinsic apoptotic signaling pathway in response to hypoxia"	<http://purl.obolibrary.org/obo/GO_1990144>	1	2	0.5
"lateral sprouting involved in lung morphogenesis"	<http://purl.obolibrary.org/obo/GO_0060490>	1	2	0.5
"leukotriene production involved in inflammatory response"	<http://purl.obolibrary.org/obo/GO_0002540>	1	2	0.5
"long-chain fatty-acyl-CoA catabolic process"	<http://purl.obolibrary.org/obo/GO_0036116>	1	2	0.5
"low-density lipoprotein particle receptor biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0045713>	1	2	0.5
"lymphocyte chemotaxis across high endothelial venule"	<http://purl.obolibrary.org/obo/GO_0002518>	1	2	0.5
"lymphocyte migration into lymph node"	<http://purl.obolibrary.org/obo/GO_0097022>	1	2	0.5
"maintenance of protein location in plasma membrane"	<http://purl.obolibrary.org/obo/GO_0072660>	1	2	0.5
"mast cell cytokine production"	<http://purl.obolibrary.org/obo/GO_0032762>	1	2	0.5
"mast cell differentiation"	<http://purl.obolibrary.org/obo/GO_0060374>	1	2	0.5
"mast cell secretory granule organization"	<http://purl.obolibrary.org/obo/GO_0033364>	1	2	0.5
"medium-chain fatty-acyl-CoA catabolic process"	<http://purl.obolibrary.org/obo/GO_0036114>	1	2	0.5
"melanocyte migration"	<http://purl.obolibrary.org/obo/GO_0097324>	1	2	0.5
"myoblast proliferation"	<http://purl.obolibrary.org/obo/GO_0051450>	3	6	0.5
"negative regulation of B cell differentiation"	<http://purl.obolibrary.org/obo/GO_0045578>	2	4	0.5
"negative regulation of PERK-mediated unfolded protein response"	<http://purl.obolibrary.org/obo/GO_1903898>	2	4	0.5
"negative regulation of Toll signaling pathway"	<http://purl.obolibrary.org/obo/GO_0045751>	1	2	0.5
"negative regulation of adenosine receptor signaling pathway"	<http://purl.obolibrary.org/obo/GO_0060169>	1	2	0.5
"negative regulation of calcium-transporting ATPase activity"	<http://purl.obolibrary.org/obo/GO_1901895>	1	2	0.5
"negative regulation of calcium:sodium antiporter activity"	<http://purl.obolibrary.org/obo/GO_1903280>	1	2	0.5
